counts_matched_rows_not_changed_ones	<53	68
assignments_see_each_other	<53	68
an_unknown_predicate_matches	<53	68
writes_rows_without_checking_them	<53	68
delete_removes_nothing	<53	68
nothing_checks_an_assigned_type	<53	68
a_column_may_be_assigned_twice	<53	68
a_where_need_not_be_boolean	<53	68
the_alias_is_ignored	<53	68
delete_ignores_its_predicate	<53	68
survivors_come_back_reversed	<53	68
updated_rows_move_to_the_end	<53	68
build_script	0	0
cargo_runner	0	0
harness_false_manifest	0	0
claims_a_graded_target_name	0	0
profile_added_to_the_manifest	53	68
rewrites_an_inherited_suite	53	68
harmless_cargo_config	53	68
the_bind_time_type_check_is_dropped	53	68
storage_takes_any_value	53	68
adds_its_own_tests	53	68
