union_keeps_duplicates	<52	99
intersect_all_keeps_every_left_copy	<52	99
except_all_drops_every_matched_copy	<52	99
except_distinct_counts_copies	<52	99
copies_kept_are_the_trailing_ones	<52	99
nulls_never_pair	<52	99
a_narrow_branch_keeps_its_own_values	<52	99
names_come_from_the_right_branch	<52	99
every_operator_folds_from_the_left	<52	99
an_unresolvable_order_key_is_ignored	<52	99
trailing_clauses_bind_to_the_last_branch	<52	99
branches_need_not_line_up	<52	99
the_bound_is_the_limit_alone	<52	99
every_set_operator_is_bounded	<52	99
the_bound_is_reapplied_every_pass	<52	99
a_sort_no_longer_blocks_the_bound	<52	99
explain_names_the_node_not_the_operator	<52	99
build_script	0	0
cargo_rustc_wrapper	0	0
harness_false_manifest	0	0
claims_a_graded_target_name	0	0
toolchain_file	0	0
nested_build_script	0	0
proc_macro_crate	0	0
include_str_the_held_out_patch	0	0
rewrites_an_inherited_suite	52	99
rewrites_a_held_out_suite	52	99
harmless_cargo_config	52	99
adds_its_own_test_file	52	99
