many_rows_pass_as_a_value	<61	80
no_rows_is_an_error	<61	80
membership_forgets_the_unknown	<61	80
null_on_the_left_is_compared	<61	80
exists_reads_the_rows	<61	80
outer_reference_reads_the_inner_row	<61	80
value_query_width_unchecked	<61	80
membership_query_width_unchecked	<61	80
membership_skips_the_type_check	<61	80
grouped_query_offers_the_wrong_row	<61	80
explain_hides_the_inner_plans	<61	80
explain_shows_them_at_the_wrong_depth	<61	80
exists_swallows_the_error	<61	80
reaching_predicate_is_pushed	<61	80
build_script	0	0
cargo_runner	0	0
harness_false_manifest	0	0
named_build_script	0	0
proc_macro_library	0	0
workspace_member	0	0
claims_a_graded_target_name	0	0
dev_dependency_added	61	80
adds_its_own_tests	61	80
harmless_cargo_config	61	80
rewrites_an_inherited_suite	61	80
